rpm,torque_N_m,efficiency
3729.05027933,1,0.0454175609617
3776.53631285,1,0.0452298152371
3824.02234637,1,0.0450360896537
3871.50837989,1,0.0448366825056
3918.99441341,1,0.0446318842829
3966.48044693,1,0.0444219777198
4013.96648045,1,0.0442072378505
4061.45251397,1,0.0439879320715
4108.93854749,1,0.043764320211
4156.42458101,1,0.0435366546045
4203.91061453,1,0.0433051801767
4251.39664804,1,0.0430701345286
4298.88268156,1,0.0428317480309
4346.36871508,1,0.0425902439215
4393.8547486,1,0.0423458384082
4441.34078212,1,0.0420987407755
4488.82681564,1,0.0418491534955
4536.31284916,1,0.041597272342
4583.79888268,1,0.0413432865081
4631.2849162,1,0.0410873787269
4678.77094972,1,0.040829725394
4726.25698324,1,0.0405704966927
4773.74301676,1,0.0403098567214
4821.22905028,1,0.0400479636213
4868.7150838,1,0.0397849697068
4916.20111732,1,0.039521021596
4963.68715084,1,0.039256260342
5011.17318436,1,0.0389908215647
5058.65921788,1,0.0387248355829
5106.1452514,1,0.0384584275459
5153.63128492,1,0.0381917175657
5201.11731844,1,0.0379248208473
5248.60335196,1,0.0376578478196
5296.08938547,1,0.0373909042652
5343.57541899,1,0.037124091448
5391.06145251,1,0.0368575062416
5438.54748603,1,0.0365912412541
5486.03351955,1,0.0363253849537
5533.51955307,1,0.0360600217906
5581.00558659,1,0.0357952323188
5628.49162011,1,0.035531093315
5675.97765363,1,0.0352676778965
5723.46368715,1,0.0350050556362
5770.94972067,1,0.0347432926766
5818.43575419,1,0.0344824518403
5865.92178771,1,0.0342225927402
5913.40782123,1,0.0339637718855
5960.89385475,1,0.0337060427872
6008.37988827,1,0.0334494560599
6055.86592179,1,0.0331940595226
6103.35195531,1,0.032939898296
6150.83798883,1,0.0326870148986
6198.32402235,1,0.0324354493394
6245.81005587,1,0.0321852392091
6293.29608939,1,0.0319364197687
6340.78212291,1,0.0316890240356
6388.26815642,1,0.0314430828679
6435.75418994,1,0.0311986250455
6483.24022346,1,0.0309556773504
6530.72625698,1,0.0307142646431
6578.2122905,1,0.0304744099381
6625.69832402,1,0.0302361344765
6673.18435754,1,0.0299994577967
6720.67039106,1,0.029764397803
6768.15642458,1,0.029530970832
6815.6424581,1,0.0292991917169
6863.12849162,1,0.0290690738502
6910.61452514,1,0.0288406292436
6958.10055866,1,0.0286138685871
7005.58659218,1,0.0283888013051
7053.0726257,1,0.0281654356114
7100.55865922,1,0.0279437785618
7148.04469274,1,0.0277238361058
7195.53072626,1,0.0275056131354
7243.01675978,1,0.0272891135332
7290.5027933,1,0.0270743402181
7337.98882682,1,0.0268612951903
7385.47486034,1,0.0266499795737
7432.96089385,1,0.0264403936578
7480.44692737,1,0.0262325369369
7527.93296089,1,0.026026408149
7575.41899441,1,0.0258220053131
7622.90502793,1,0.0256193257643
7670.39106145,1,0.0254183661885
7717.87709497,1,0.0252191226555
7765.36312849,1,0.0250215906507
7812.84916201,1,0.024825765106
7860.33519553,1,0.0246316404289
7907.82122905,1,0.0244392105313
7955.30726257,1,0.0242484688562
8002.79329609,1,0.0240594084045
8050.27932961,1,0.0238720217594
8097.76536313,1,0.0236863011113
8145.25139665,1,0.0235022382805
8192.73743017,1,0.0233198247396
8240.22346369,1,0.023139051635
8287.70949721,1,0.0229599098071
8335.19553073,1,0.0227823898103
8382.68156425,1,0.0226064819315
8430.16759777,1,0.0224321762084
8477.65363128,1,0.0222594624466
8525.1396648,1,0.0220883302363
8572.62569832,1,0.0219187689683
8620.11173184,1,0.0217507678489
8667.59776536,1,0.0215843159145
8715.08379888,1,0.0214194020456
8762.5698324,1,0.0212560149802
8810.05586592,1,0.0210941433261
8857.54189944,1,0.0209337755736
8905.02793296,1,0.0207749001066
8952.51396648,1,0.0206175052139
9000,1,0.0204615790998
500,14.0603514692,0.219749126863
547.48603352,14.0603514692,0.232406596047
594.972067039,14.0603514692,0.244204925217
642.458100559,14.0603514692,0.255221292741
689.944134078,14.0603514692,0.265523383567
737.430167598,14.0603514692,0.275170812214
784.916201117,14.0603514692,0.284216297857
832.402234637,14.0603514692,0.292706640461
879.888268156,14.0603514692,0.300683536173
927.374301676,14.0603514692,0.308184262
974.860335196,14.0603514692,0.315242253586
1022.34636872,14.0603514692,0.321887595043
1069.83240223,14.0603514692,0.328147436055
1117.31843575,14.0603514692,0.334046348525
1164.80446927,14.0603514692,0.339606632752
1212.29050279,14.0603514692,0.344848581242
1259.77653631,14.0603514692,0.349790706838
1307.26256983,14.0603514692,0.354449940656
1354.74860335,14.0603514692,0.358841804374
1402.23463687,14.0603514692,0.362980560652
1449.72067039,14.0603514692,0.366879344858
1497.20670391,14.0603514692,0.370550280712
1544.69273743,14.0603514692,0.374004582114
1592.17877095,14.0603514692,0.377252643004
1639.66480447,14.0603514692,0.380304116869
1687.15083799,14.0603514692,0.383167987246
1734.63687151,14.0603514692,0.385852630371
1782.12290503,14.0603514692,0.388365870976
1829.60893855,14.0603514692,0.390715032079
1877.09497207,14.0603514692,0.392906979488
1924.58100559,14.0603514692,0.394948161676
1972.06703911,14.0603514692,0.396844645543
2019.55307263,14.0603514692,0.398602148564
2067.03910615,14.0603514692,0.400226067724
2114.52513966,14.0603514692,0.401721505606
2162.01117318,14.0603514692,0.403093293939
2209.4972067,14.0603514692,0.404346014894
2256.98324022,14.0603514692,0.405484020354
2304.46927374,14.0603514692,0.406511449397
2351.95530726,14.0603514692,0.407432244141
